book_id,price,discount,date
88768,85000,20,2023-09-25 12:36:01.533223
68118,50000,25,2023-09-25 12:36:01.892144
27248,58000,0,2023-09-25 12:36:02.127237
31294,14000,0,2023-09-25 12:36:02.402453
14898,325000,15,2023-09-25 12:36:02.699907
21642,78000,0,2023-09-25 12:36:02.732163
39815,10000,25,2023-09-25 12:36:02.899602
95972,55000,20,2023-09-25 12:36:03.081742
62651,12000,0,2023-09-25 12:36:03.398086
37247,60000,20,2023-09-25 12:36:03.547168
99437,18000,0,2023-09-25 12:36:03.705114
104887,170000,20,2023-09-25 12:36:04.042559
108426,400000,20,2023-09-25 12:36:04.489681
53528,250000,15,2023-09-25 12:36:04.650681
54602,60000,25,2023-09-25 12:36:05.131756
73472,15000,20,2023-09-25 12:36:05.438928
31227,175000,0,2023-09-25 12:36:06.685541
54954,220000,15,2023-09-25 12:36:07.006312
39778,18000,25,2023-09-25 12:36:07.433441
56507,79900,0,2023-09-25 12:36:07.635841
36784,180000,20,2023-09-25 12:36:08.061779
29097,165000,15,2023-09-25 12:36:08.491097
31218,10000,0,2023-09-25 12:36:08.697196
24058,268000,15,2023-09-25 12:36:08.977211
16322,125000,0,2023-09-25 12:36:09.149066
17883,175000,15,2023-09-25 12:36:09.514316
72208,2500,0,2023-09-25 12:36:09.768737
15930,18000,0,2023-09-25 12:36:09.940083
91810,32000,15,2023-09-25 12:36:10.132159
69781,48000,10,2023-09-25 12:36:10.207747
44256,13500,0,2023-09-25 12:36:10.312240
22144,23500,0,2023-09-25 12:36:10.457151
79809,110000,30,2023-09-25 12:36:10.690695
112506,160000,15,2023-09-25 12:36:10.796383
103007,25000,20,2023-09-25 12:36:11.057917
85169,250000,20,2023-09-25 12:36:11.238091
76746,60000,15,2023-09-25 12:36:11.409856
37220,10000,0,2023-09-25 12:36:11.663536
103952,2500,0,2023-09-25 12:36:11.756540
102715,110000,20,2023-09-25 12:36:11.845428
86057,40000,20,2023-09-25 12:36:11.947336
83605,18000,20,2023-09-25 12:36:12.486886
96110,30000,20,2023-09-25 12:36:13.099315
120555,59000,20,2023-09-25 12:36:14.205943
3521,10000,15,2023-09-25 12:36:14.600981
3519,50000,0,2023-09-25 12:36:14.656163
1863,35000,0,2023-09-25 12:36:14.713088
13625,12500,0,2023-09-25 12:36:14.763070
29840,30000,20,2023-09-25 12:36:15.004072
45811,100000,25,2023-09-25 12:36:15.233131
252,45000,0,2023-09-25 12:36:15.536506
46529,290000,20,2023-09-25 12:36:15.794767
60815,8000,0,2023-09-25 12:36:16.057684
60686,48000,0,2023-09-25 12:36:16.273683
110410,55000,20,2023-09-25 12:36:16.426652
57694,140000,25,2023-09-25 12:36:16.527611
34500,74000,15,2023-09-25 12:36:16.612644
34605,32000,0,2023-09-25 12:36:16.709620
43592,80000,0,2023-09-25 12:36:16.827007
